,AREA,AREA_TITLE,AREA_TYPE,PRIM_STATE,NAICS,NAICS_TITLE,I_GROUP,OWN_CODE,OCC_CODE,OCC_TITLE,O_GROUP,TOT_EMP,EMP_PRSE,JOBS_1000,LOC_QUOTIENT,PCT_TOTAL,PCT_RPT,H_MEAN,A_MEAN,MEAN_PRSE,H_PCT10,H_PCT25,H_MEDIAN,H_PCT75,H_PCT90,A_PCT10,A_PCT25,A_MEDIAN,A_PCT75,A_PCT90,ANNUAL,HOURLY
725,37860,"Pensacola-Ferry Pass-Brent, FL",4,FL,0,Cross-industry,cross-industry,1235,15-2051,Data Scientists,detailed,70,10.5,0.362,0.34,0,0,38.66,80420,3.8,22.39,26.57,31.86,48.38,60.84,46570,55260,66280,100640,126550,0,0
726,37900,"Peoria, IL",4,IL,0,Cross-industry,cross-industry,1235,15-2051,Data Scientists,detailed,120,8.6,0.749,0.69,0,0,48.61,101110,1.4,29.2,37.19,46.6,58.46,67.07,60730,77350,96930,121590,139500,0,0
727,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",4,PA,0,Cross-industry,cross-industry,1235,15-2051,Data Scientists,detailed,3680,4.6,1.329,1.23,0,0,52.63,109460,1.5,30.38,39.41,50.25,65.19,78.36,63200,81960,104530,135590,162990,0,0
728,38060,"Phoenix-Mesa-Scottsdale, AZ",4,AZ,0,Cross-industry,cross-industry,1235,15-2051,Data Scientists,detailed,2250,22.3,1.014,0.94,0,0,50.19,104390,5.7,30,38.21,49.95,59.89,71.64,62400,79490,103890,124580,149010,0,0
729,38300,"Pittsburgh, PA",4,PA,0,Cross-industry,cross-industry,1235,15-2051,Data Scientists,detailed,1280,5.1,1.207,1.12,0,0,41.78,86910,2,22.95,30.44,38.85,50.63,61.37,47740,63310,80810,105310,127660,0,0
730,38900,"Portland-Vancouver-Hillsboro, OR-WA",4,OR,0,Cross-industry,cross-industry,1235,15-2051,Data Scientists,detailed,1340,8.2,1.132,1.05,0,0,56.5,117510,4.1,29.77,38.67,51.99,67.11,84.43,61910,80440,108130,139600,175610,0,0
731,38940,"Port St. Lucie, FL",4,FL,0,Cross-industry,cross-industry,1235,15-2051,Data Scientists,detailed,40,16.5,0.277,0.26,0,0,49.04,102010,4.6,24.56,30.68,47.39,61.45,75.13,51080,63820,98570,127810,156260,0,0
732,39340,"Provo-Orem, UT",4,UT,0,Cross-industry,cross-industry,1235,15-2051,Data Scientists,detailed,860,9.7,3.015,2.79,0,0,41.02,85330,4.2,22.8,30.18,35.84,49.12,63.35,47430,62780,74550,102170,131770,0,0
733,39580,"Raleigh, NC",4,NC,0,Cross-industry,cross-industry,1235,15-2051,Data Scientists,detailed,990,24.6,1.466,1.36,0,0,56.73,118000,1.3,30.69,41.65,53.64,67.54,87.01,63840,86630,111580,140470,180970,0,0
734,39740,"Reading, PA",4,PA,0,Cross-industry,cross-industry,1235,15-2051,Data Scientists,detailed,80,6.9,0.453,0.42,0,0,44.09,91710,1.7,23.33,30.94,39.11,50.94,61.84,48530,64360,81360,105950,128630,0,0
